Date,Close,High,Low,Open,Volume
2024-11-13,1.25,2.5,1.25,1.25,2601964
2024-11-14,1.25,1.25,1.25,1.25,335380
2024-11-18,1.25,1.25,1.25,1.25,747108
2024-11-19,1.25,1.25,1.25,1.25,201270
2024-11-21,1.25,1.25,1.25,1.25,104764
2024-11-22,1.25,1.25,1.25,1.25,58511
2024-11-25,1.25,1.25,1.25,1.25,224021
2024-11-26,1.25,1.25,1.25,1.25,60117
2024-11-27,1.25,1.25,1.25,1.25,31242
2024-11-28,1.25,1.25,1.25,1.25,51275
2024-11-29,1.25,1.25,1.25,1.25,32426
2024-12-02,1.25,1.25,1.25,1.25,42740
2024-12-03,1.25,1.25,1.25,1.25,53151
2024-12-04,1.25,1.25,1.25,1.25,19696
2024-12-05,1.25,1.25,1.25,1.25,17747
2024-12-06,1.25,1.25,1.25,1.25,39009
2024-12-09,1.25,1.25,1.25,1.25,15045
2024-12-10,1.25,1.25,1.25,1.25,10697
2024-12-11,1.25,1.25,1.25,1.25,9461
2024-12-12,1.25,1.25,1.25,1.25,77374
2024-12-13,1.25,1.25,1.25,1.25,98136
2024-12-16,1.25,1.25,1.25,1.25,10977
2024-12-17,1.25,1.25,1.25,1.25,30165
2024-12-18,1.25,1.25,1.25,1.25,10532
2024-12-19,1.25,1.25,1.25,1.25,26566
2024-12-20,1.25,1.25,1.25,1.25,19298
2024-12-23,1.25,1.25,1.25,1.25,18029
2024-12-26,1.25,1.25,1.25,1.25,10066
2024-12-27,1.25,1.25,1.25,1.25,6510
2024-12-30,1.25,1.25,1.25,1.25,17254
2025-01-02,1.25,1.25,1.25,1.25,17524
2025-01-03,1.25,1.25,1.25,1.25,12814
2025-01-06,1.25,1.25,1.25,1.25,24067
2025-01-07,1.25,1.25,1.25,1.25,61760
2025-01-08,1.25,1.25,1.25,1.25,8201
2025-01-09,1.25,1.25,1.25,1.25,5720
2025-01-10,1.25,1.25,1.25,1.25,5080
2025-01-13,1.25,1.25,1.25,1.25,4471
2025-01-14,1.25,1.25,1.25,1.25,5022
2025-01-15,1.25,1.25,1.25,1.25,54780
2025-01-16,1.25,1.25,1.25,1.25,289376
2025-01-17,1.25,1.25,1.25,1.25,19081
2025-01-20,1.25,1.25,1.25,1.25,34924
2025-01-21,1.25,1.25,1.25,1.25,6150
2025-01-22,1.25,1.25,1.25,1.25,10317
2025-01-23,1.25,1.25,1.25,1.25,6038
2025-01-24,1.25,1.25,1.25,1.25,4165
2025-01-27,1.25,1.25,1.25,1.25,14536
2025-01-28,1.25,1.25,1.25,1.25,15108
2025-01-29,1.25,1.25,1.25,1.25,50561
2025-01-30,1.25,1.25,1.25,1.25,96900
2025-01-31,1.25,1.25,1.25,1.25,27010
2025-02-03,1.25,1.25,1.25,1.25,36489
2025-02-04,1.25,1.25,1.25,1.25,5643
2025-02-05,1.25,1.25,1.25,1.25,13963
2025-02-06,1.25,1.25,1.25,1.25,14068
2025-02-07,1.25,1.25,1.25,1.25,13484
2025-02-10,1.25,1.25,1.25,1.25,18783
2025-02-11,1.25,1.25,1.25,1.25,16276
2025-02-12,1.25,1.25,1.25,1.25,5900
2025-02-13,1.25,1.25,1.25,1.25,11213
2025-02-14,1.25,1.25,1.25,1.25,333334
2025-02-17,1.25,2.5,1.25,1.25,1780593
2025-02-18,2.5,2.5,1.25,1.25,710020
2025-02-19,1.25,2.5,1.25,1.25,476563
2025-02-20,1.25,3.75,1.25,2.5,3949494
2025-02-21,1.25,2.5,1.25,1.25,3606400
2025-02-24,1.25,2.5,1.25,1.25,1158946
2025-02-25,1.25,1.25,1.25,1.25,120942
2025-02-26,1.25,1.25,1.25,1.25,21180
2025-02-27,1.25,1.25,1.25,1.25,49860
2025-02-28,88.75,118.75,88.75,108.75,27841
2025-03-05,0.5400000214576721,0.6800000071525574,0.5400000214576721,0.6399999856948853,3614000
2025-03-06,0.8899999856948853,0.9900000095367432,0.550000011920929,0.5600000023841858,8438200
2025-03-07,1.0499999523162842,1.159999966621399,0.9300000071525574,0.9399999976158142,7119000
2025-03-10,0.8799999952316284,1.1699999570846558,0.8799999952316284,1.0700000524520874,4734400
2025-03-11,0.8899999856948853,0.9399999976158142,0.7699999809265137,0.8700000047683716,3312000
2025-03-12,0.8899999856948853,0.949999988079071,0.8700000047683716,0.8999999761581421,947700
2025-03-13,0.8600000143051147,0.9200000166893005,0.8399999737739563,0.8799999952316284,1058500
2025-03-14,0.8500000238418579,0.8899999856948853,0.8199999928474426,0.8600000143051147,1150900
2025-03-17,0.8299999833106995,0.8700000047683716,0.8199999928474426,0.8500000238418579,618900
2025-03-18,0.8199999928474426,0.8799999952316284,0.800000011920929,0.8199999928474426,1127300
2025-03-19,0.8199999928474426,0.8600000143051147,0.800000011920929,0.8299999833106995,939200
2025-03-20,0.8299999833106995,0.8399999737739563,0.8100000023841858,0.8299999833106995,361700
2025-03-21,0.800000011920929,0.8299999833106995,0.800000011920929,0.8299999833106995,482700
2025-03-24,0.800000011920929,0.8199999928474426,0.7599999904632568,0.7900000214576721,889500
2025-03-25,0.7599999904632568,0.8100000023841858,0.75,0.800000011920929,1079400
2025-03-26,0.7799999713897705,0.8100000023841858,0.7300000190734863,0.7699999809265137,1385800
2025-03-27,0.7599999904632568,0.8100000023841858,0.75,0.800000011920929,683300
2025-03-28,0.75,0.7900000214576721,0.75,0.7699999809265137,505000
2025-03-31,0.7599999904632568,0.7900000214576721,0.75,0.7599999904632568,342500
2025-04-01,0.949999988079071,1.0499999523162842,0.7900000214576721,0.800000011920929,3964400
2025-04-02,0.9900000095367432,1.2200000286102295,0.949999988079071,0.9800000190734863,5100100
2025-04-03,0.9700000286102295,1.100000023841858,0.949999988079071,1.0099999904632568,1535800
2025-04-04,0.9100000262260437,0.9700000286102295,0.8899999856948853,0.9700000286102295,864400
2025-04-07,0.8500000238418579,0.9100000262260437,0.8299999833106995,0.8999999761581421,787300
2025-04-08,0.8199999928474426,0.8999999761581421,0.800000011920929,0.8700000047683716,593900
2025-04-09,0.8799999952316284,0.8799999952316284,0.800000011920929,0.8199999928474426,641000
2025-04-10,0.8700000047683716,0.9100000262260437,0.8500000238418579,0.8600000143051147,649300
2025-04-11,0.8799999952316284,0.8899999856948853,0.8600000143051147,0.8700000047683716,165700
